country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Maharashtra,Amravati,"Shivneri Colony, Amravati - MPCB","18-04-2026 17:00:00",20.9402359,77.7895248,OZONE,2,73,64
India,Maharashtra,Amravati,"Shri Shivaji Science College, Amravati - MPCB","18-04-2026 17:00:00",20.939198,77.765701,PM2.5,47,105,74
India,Kerala,Kollam,"Polayathode, Kollam - Kerala PCB","18-04-2026 17:00:00",8.8787,76.6073,PM10,70,82,76
India,Kerala,Kollam,"Polayathode, Kollam - Kerala PCB","18-04-2026 17:00:00",8.8787,76.6073,SO2,2,3,2
India,Kerala,Thiruvananthapuram,"Kariavattom, Thiruvananthapuram - Kerala PCB","18-04-2026 17:00:00",8.563700,76.886500,SO2,1,30,8
India,Kerala,Thiruvananthapuram,"Kariavattom, Thiruvananthapuram - Kerala PCB","18-04-2026 17:00:00",8.563700,76.886500,OZONE,30,31,31
India,Kerala,Thiruvananthapuram,"Plammoodu, Thiruvananthapuram - Kerala PCB","18-04-2026 17:00:00",8.5149093,76.9435879,NO2,NA,NA,NA
India,Kerala,Thiruvananthapuram,"Plammoodu, Thiruvananthapuram - Kerala PCB","18-04-2026 17:00:00",8.5149093,76.9435879,SO2,7,21,14
India,Kerala,Thrissur,"Corporation Ground, Thrissur - Kerala PCB","18-04-2026 17:00:00",10.532400,76.215900,PM2.5,33,45,40
India,Kerala,Thrissur,"Corporation Ground, Thrissur - Kerala PCB","18-04-2026 17:00:00",10.532400,76.215900,CO,14,22,18
India,"Madhya Pradesh",Bhopal,"Idgah Hills, Bhopal - MPPCB","18-04-2026 17:00:00",23.264759,77.381568,CO,14,58,20
India,"Madhya Pradesh",Gwalior,"Deen Dayal Nagar, Gwalior - MPPCB","18-04-2026 17:00:00",26.259242,78.216432,OZONE,41,153,98
India,"Madhya Pradesh",Gwalior,"Maharaj Bada, Gwalior - MPPCB","18-04-2026 17:00:00",26.200388,78.147714,NO2,16,80,38
India,"Madhya Pradesh",Indore,"Airport Area, Indore - IMC","18-04-2026 17:00:00",22.7289,75.8076,PM10,34,102,67
India,"Madhya Pradesh",Indore,"Airport Area, Indore - IMC","18-04-2026 17:00:00",22.7289,75.8076,NO2,4,7,5
